Price,Year,Mileage,City,State,Vin,Make,Model
10855,2014,10685,Lawrence, KS,KL8CL6S05EC400509,Chevrolet,Spark
10700,2014,63944,Morganton, NC,1G1PC5SB5E7126654,Chevrolet,Cruze1LT
13333,2014,28312,Phoenix, AZ,1G1P75SZ4E7274702,Chevrolet,CruzeDiesel
11749,2014,48683,Lawrence, KS,1G1PC5SB2E7422327,Chevrolet,Cruze1LT
12995,2014,18975,Graham, NC,1G1PA5SH0E7325993,Chevrolet,CruzeLS
14887,2014,35917,Hickory, NC,2GNALAEK7E6316187,Chevrolet,EquinoxFWD
9742,2014,67801,Glendale, AZ,1G1PC5SB8E7295387,Chevrolet,Cruze1LT
12500,2014,46918,Kansas City, KS,1G1PG5SB4E7302842,Chevrolet,CruzeLTZ
12500,2014,31075,Merriam, KS,1G1PC5SB9E7335167,Chevrolet,Cruze1LT
19300,2014,3717,Matthews, NC,2G1FB1E38E9286375,Chevrolet,CamaroCoupe
16330,2014,45529,Winston Salem, NC,2G1FE1E34E9204097,Chevrolet,CamaroCoupe
17989,2014,25839,Chandler, AZ,2G1FF1E38E9278989,Chevrolet,CamaroCoupe
16987,2014,30820,Tempe, AZ,2G1FB1E36E9257408,Chevrolet,CamaroCoupe
10498,2014,29800,Greensboro, NC,KL8CA6S92EC556656,Chevrolet,SparkLS
17000,2014,27096,Glendale, AZ,2G11Y5SL9E9111833,Chevrolet,ImpalaLS
17411,2014,39170,Gilbert, AZ,1GCNCPEH4EZ260067,Chevrolet,Silverado
17990,2014,34285,Abilene, KS,1GCNCPEH7EZ277333,Chevrolet,Silverado
14222,2014,30934,Phoenix, AZ,1G1RE6E42EU173499,Chevrolet,VoltPlug-In
18000,2014,22500,Phoenix, AZ,2G1FA1E35E9318704,Chevrolet,CamaroCoupe
13000,2014,46233,Phoenix, AZ,1G1RG6E45EU152611,Chevrolet,VoltPlug-In
10095,2014,85841,Winston Salem, NC,1G1JA6SH7E4127473,Chevrolet,SonicHatchback
19330,2014,27195,Fayetteville, NC,1GCNCPEH8EZ366862,Chevrolet,Silverado
14500,2014,57220,Kansas City, KS,2G1FE1E32E9150766,Chevrolet,CamaroCoupe
6998,2014,58696,Raleigh, NC,KL8CB6S92EC460426,Chevrolet,SparkLS
6500,2014,64842,Charlotte, NC,KL8CB6S99EC526213,Chevrolet,SparkLS
15989,2014,47620,Harbinger, NC,1GCNCPEH4EZ313687,Chevrolet,Silverado
15999,2014,48688,Sierra Vista, AZ,2G11Y5SL0E9277917,Chevrolet,ImpalaLS
18222,2014,23545,Scottsdale, AZ,2G1FA1E33E9307135,Chevrolet,CamaroCoupe
14995,2014,40719,Wilmington, NC,1G1RA6E43EU146954,Chevrolet,VoltPlug-In
8595,2014,50810,Henderson, NC,KL8CB6S97EC472880,Chevrolet,SparkLS
17500,2014,41481,Mount Airy, NC,2G1FA1E34E9204533,Chevrolet,CamaroCoupe
18058,2014,25774,Charlotte, NC,2G1FA1E33E9222831,Chevrolet,CamaroCoupe
21500,2014,44506,Olathe, KS,2G1155S35E9170127,Chevrolet,Impala2LTZ
21789,2014,51443,Kannapolis, NC,2G1155S39E9212931,Chevrolet,Impala2LTZ
20990,2014,68428,Goldsboro, NC,2G1155S36E9304613,Chevrolet,Impala2LTZ
20444,2014,46625,Phoenix, AZ,1GNKRGKD5EJ280059,Chevrolet,Traverse1LT
12342,2014,51052,Lumberton, NC,1G1PC5SB7E7204044,Chevrolet,Cruze1LT
14995,2014,121145,Graham, NC,2G1125S37E9162250,Chevrolet,Impala2LT
15999,2014,102868,Greensboro, NC,1GNKRGKD4EJ263687,Chevrolet,Traverse1LT
19400,2014,7355,Kansas City, KS,1G11H5SL7EF237339,Chevrolet,Malibu1LTZ
23422,2014,44767,Raleigh, NC,2G1FJ1EJXE9138259,Chevrolet,CamaroCoupe
13485,2014,46198,Apex, NC,1G1PE5SB8E7397024,Chevrolet,Cruze2LT
19495,2014,48034,Graham, NC,1GNKRHKD7EJ336427,Chevrolet,Traverse2LT
24000,2014,48639,Goodyear, AZ,3GCPCPEH1EG299353,Chevrolet,Silverado
25995,2014,14711,DUNN, NC,3GCPCPECXEG229287,Chevrolet,Silverado
12499,2014,78386,Hendersonville, NC,1G11C5SL6EF192912,Chevrolet,Malibu1LT
23777,2014,40698,Phoenix, AZ,1GCRCREC1EZ282349,Chevrolet,Silverado
21400,2014,60992,Greensboro, NC,1GCRCREH3EZ306260,Chevrolet,Silverado
16998,2014,84110,Southern Pines, NC,1GNKVFKD3EJ312089,Chevrolet,TraverseLS
19995,2014,79448,Elizabeth City, NC,2G1155S38E9305651,Chevrolet,Impala2LTZ
12340,2014,52354,Safford, AZ,1G1P75SZ5E7168615,Chevrolet,CruzeDiesel
24998,2014,25601,Merriam, KS,2G1155S39E9153234,Chevrolet,Impala2LTZ
25555,2014,17606,Lawrence, KS,1GCNCREHXEZ170451,Chevrolet,Silverado
23997,2014,32173,Wallace, NC,1G1155S30EU134218,Chevrolet,Impala2LTZ
24265,2014,56679,Tucson, AZ,1GCRCREH9EZ256576,Chevrolet,Silverado
14649,2014,50114,Durham, NC,2GNALAEK5E6310498,Chevrolet,EquinoxFWD
10995,2014,20403,Leavenworth, KS,1FADP3R41EL264375,Ford,Focus
10999,2014,10120,Phoenix, AZ,1FADP3R4XEL363289,Ford,Focus
11593,2014,16493,Phoenix, AZ,1FADP3R46EL300061,Ford,Focus
11490,2014,24839,Phoenix, AZ,1FADP3R45EL210190,Ford,Focus
11650,2014,29294,Raleigh, NC,1FADP3R42EL378112,Ford,Focus
10994,2014,38673,Mesa, AZ,1FADP3R48EL118362,Ford,Focus
