id,price,city,state,mileage,vin,msrp,make,model,year,depreciation,latitude,longitude
119,9742,Glendale, AZ,67801,1G1PC5SB8E7295387,19810,CHEVROLET,Cruze,2014,50.82,34.14,-118.25
120,12500,Kansas City, KS,46918,1G1PG5SB4E7302842,23705,CHEVROLET,Cruze,2014,47.27,39.08,-94.56
121,12500,Merriam, KS,31075,1G1PC5SB9E7335167,19810,CHEVROLET,Cruze,2014,36.9,39.02,-94.69
122,19300,Matthews, NC,3717,2G1FB1E38E9286375,25755,CHEVROLET,Camaro,2014,25.06,35.12,-80.72
123,16330,Winston Salem, NC,45529,2G1FE1E34E9204097,23455,CHEVROLET,Camaro,2014,30.38,,
124,17989,Chandler, AZ,25839,2G1FF1E38E9278989,25755,CHEVROLET,Camaro,2014,30.15,33.31,-111.84
125,16987,Tempe, AZ,30820,2G1FB1E36E9257408,25755,CHEVROLET,Camaro,2014,34.04,33.41,-111.91
126,10498,Greensboro, NC,29800,KL8CA6S92EC556656,12170,CHEVROLET,Spark,2014,13.74,36.07,-79.79
127,17000,Glendale, AZ,27096,2G11Y5SL9E9111833,26860,CHEVROLET,Impala,2014,36.71,34.14,-118.25
128,17411,Gilbert, AZ,39170,1GCNCPEH4EZ260067,23590,CHEVROLET,Silverado,2014,26.19,47.49,-92.47
129,17990,Abilene, KS,34285,1GCNCPEH7EZ277333,23590,CHEVROLET,Silverado,2014,23.74,32.45,-99.73
130,14222,Phoenix, AZ,30934,1G1RE6E42EU173499,0,CHEVROLET,Volt,2014,-inf,33.45,-112.08
131,18000,Phoenix, AZ,22500,2G1FA1E35E9318704,24655,CHEVROLET,Camaro,2014,26.99,33.45,-112.08
132,13000,Phoenix, AZ,46233,1G1RG6E45EU152611,0,CHEVROLET,Volt,2014,-inf,33.45,-112.08
133,10095,Winston Salem, NC,85841,1G1JA6SH7E4127473,16020,CHEVROLET,Sonic,2014,36.99,,
134,19330,Fayetteville, NC,27195,1GCNCPEH8EZ366862,23590,CHEVROLET,Silverado,2014,18.06,36.06,-94.16
135,14500,Kansas City, KS,57220,2G1FE1E32E9150766,23455,CHEVROLET,Camaro,2014,38.18,39.08,-94.56
136,6998,Raleigh, NC,58696,KL8CB6S92EC460426,13480,CHEVROLET,Spark,2014,48.09,35.78,-78.64
137,6500,Charlotte, NC,64842,KL8CB6S99EC526213,13480,CHEVROLET,Spark,2014,51.78,35.23,-80.84
138,15989,Harbinger, NC,47620,1GCNCPEH4EZ313687,23590,CHEVROLET,Silverado,2014,32.22,36.1,-75.81
139,15999,Sierra Vista, AZ,48688,2G11Y5SL0E9277917,26860,CHEVROLET,Impala,2014,40.44,31.55,-110.3
140,18222,Scottsdale, AZ,23545,2G1FA1E33E9307135,24655,CHEVROLET,Camaro,2014,26.09,33.51,-111.9
141,14995,Wilmington, NC,40719,1G1RA6E43EU146954,34185,CHEVROLET,Volt,2014,56.14,39.75,-75.55
142,8595,Henderson, NC,50810,KL8CB6S97EC472880,13480,CHEVROLET,Spark,2014,36.24,36.04,-114.98
143,17500,Mount Airy, NC,41481,2G1FA1E34E9204533,24655,CHEVROLET,Camaro,2014,29.02,39.38,-77.15
144,18058,Charlotte, NC,25774,2G1FA1E33E9222831,24655,CHEVROLET,Camaro,2014,26.76,35.23,-80.84
145,21500,Olathe, KS,44506,2G1155S35E9170127,35905,CHEVROLET,Impala,2014,40.12,38.88,-94.82
146,21789,Kannapolis, NC,51443,2G1155S39E9212931,35905,CHEVROLET,Impala,2014,39.31,35.49,-80.62
147,20990,Goldsboro, NC,68428,2G1155S36E9304613,35905,CHEVROLET,Impala,2014,41.54,35.38,-77.99
148,20444,Phoenix, AZ,46625,1GNKRGKD5EJ280059,34010,CHEVROLET,Traverse,2014,39.89,33.45,-112.08
149,12342,Lumberton, NC,51052,1G1PC5SB7E7204044,19810,CHEVROLET,Cruze,2014,37.7,30.27,-94.2
150,14995,Graham, NC,121145,2G1125S37E9162250,30085,CHEVROLET,Impala,2014,50.16,47.04,-122.28
151,15999,Greensboro, NC,102868,1GNKRGKD4EJ263687,34010,CHEVROLET,Traverse,2014,52.96,36.07,-79.79
152,19400,Kansas City, KS,7355,1G11H5SL7EF237339,27690,CHEVROLET,Malibu,2014,29.94,39.08,-94.56
153,23422,Raleigh, NC,44767,2G1FJ1EJXE9138259,32955,CHEVROLET,Camaro,2014,28.93,35.78,-78.64
154,13485,Apex, NC,46198,1G1PE5SB8E7397024,22480,CHEVROLET,Cruze,2014,40.01,35.73,-78.85
155,19495,Graham, NC,48034,1GNKRHKD7EJ336427,36865,CHEVROLET,Traverse,2014,47.12,47.04,-122.28
156,24000,Goodyear, AZ,48639,3GCPCPEH1EG299353,32200,CHEVROLET,Silverado,2014,25.47,33.44,-112.36
157,25995,DUNN, NC,14711,3GCPCPECXEG229287,32200,CHEVROLET,Silverado,2014,19.27,35.31,-78.61
158,12499,Hendersonville, NC,78386,1G11C5SL6EF192912,23510,CHEVROLET,Malibu,2014,46.84,36.3,-86.62
159,23777,Phoenix, AZ,40698,1GCRCREC1EZ282349,31800,CHEVROLET,Silverado,2014,25.23,33.45,-112.08
160,21400,Greensboro, NC,60992,1GCRCREH3EZ306260,31800,CHEVROLET,Silverado,2014,32.7,36.07,-79.79
161,16998,Southern Pines, NC,84110,1GNKVFKD3EJ312089,32795,CHEVROLET,Traverse,2014,48.17,35.17,-79.39
162,19995,Elizabeth City, NC,79448,2G1155S38E9305651,35905,CHEVROLET,Impala,2014,44.31,36.3,-76.22
163,12340,Safford, AZ,52354,1G1P75SZ5E7168615,24885,CHEVROLET,Cruze,2014,50.41,32.83,-109.71
164,24998,Merriam, KS,25601,2G1155S39E9153234,35905,CHEVROLET,Impala,2014,30.38,39.02,-94.69
165,25555,Lawrence, KS,17606,1GCNCREHXEZ170451,29145,CHEVROLET,Silverado,2014,12.32,38.97,-95.24
166,23997,Wallace, NC,32173,1G1155S30EU134218,35905,CHEVROLET,Impala,2014,33.17,47.47,-115.93
167,24265,Tucson, AZ,56679,1GCRCREH9EZ256576,31800,CHEVROLET,Silverado,2014,23.69,32.22,-110.93
168,14649,Durham, NC,50114,2GNALAEK5E6310498,24360,CHEVROLET,Equinox,2014,39.86,36.0,-78.9
169,10995,Leavenworth, KS,20403,1FADP3R41EL264375,35200,FORD,Focus,2014,68.76,47.6,-120.66
170,10999,Phoenix, AZ,10120,1FADP3R4XEL363289,35200,FORD,Focus,2014,68.75,33.45,-112.08
171,11593,Phoenix, AZ,16493,1FADP3R46EL300061,35200,FORD,Focus,2014,67.07,33.45,-112.08
172,11490,Phoenix, AZ,24839,1FADP3R45EL210190,35200,FORD,Focus,2014,67.36,33.45,-112.08
173,11650,Raleigh, NC,29294,1FADP3R42EL378112,35200,FORD,Focus,2014,66.9,35.78,-78.64
174,10994,Mesa, AZ,38673,1FADP3R48EL118362,35200,FORD,Focus,2014,68.77,33.41,-111.83
175,10999,Scottsdale, AZ,23400,1FADP3R48EL259786,35200,FORD,Focus,2014,68.75,33.51,-111.9
176,13476,Leavenworth, KS,15155,3FA6P0HD1ER228096,23855,FORD,Fusion,2014,43.51,47.6,-120.66
177,9749,Albermarle, NC,48942,3FA6P0G72ER208497,21900,FORD,Fusion,2014,55.48,,
178,13423,Leavenworth, KS,23697,1FA6P0H77E5398881,23855,FORD,Fusion,2014,43.73,47.6,-120.66
179,12000,Merriam, KS,20794,3FA6P0H76ER291348,23855,FORD,Fusion,2014,49.7,39.02,-94.69
180,7822,Leavenworth, KS,47204,1FADP3E20EL350524,16310,FORD,Focus,2014,52.04,47.6,-120.66
181,8100,Leavenworth, KS,31920,3FADP4AJ4EM241145,14000,FORD,Fiesta,2014,42.14,47.6,-120.66
182,10998,Peoria, AZ,49148,3FA6P0H78ER392357,23855,FORD,Fusion,2014,53.9,40.69,-89.59
183,12948,Leavenworth, KS,40103,3FA6P0H70ER114651,23855,FORD,Fusion,2014,45.72,47.6,-120.66
184,8988,Merriam, KS,24231,1FADP3F22EL449697,18515,FORD,Focus,2014,51.46,39.02,-94.69
185,13100,Greensboro, NC,15600,1FA6P0H78E5390823,23855,FORD,Fusion,2014,45.08,36.07,-79.79
186,12945,Mesa, AZ,34525,3FA6P0G73ER299215,21900,FORD,Fusion,2014,40.89,33.41,-111.83
187,12997,Scottsdale, AZ,28315,3FA6P0HDXER195003,23855,FORD,Fusion,2014,45.52,33.51,-111.9
188,10300,Leavenworth, KS,12141,3FADP4EJXEM219869,16050,FORD,Fiesta,2014,35.83,47.6,-120.66
189,9875,Leavenworth, KS,31360,1FADP3F23EL374444,18515,FORD,Focus,2014,46.66,47.6,-120.66
190,8956,Leavenworth, KS,42771,1FADP3K29EL391173,19115,FORD,Focus,2014,53.15,47.6,-120.66
191,10500,Leavenworth, KS,24324,1FADP3F20EL363823,18515,FORD,Focus,2014,43.29,47.6,-120.66
192,12555,Scottsdale, AZ,74245,1FMCU0F70EUA06933,22700,FORD,Escape,2014,44.69,33.51,-111.9
193,18397,Phoenix, AZ,32701,3FA6P0RU1ER356434,32500,FORD,Fusion,2014,43.39,33.45,-112.08
194,15830,Phoenix, AZ,21507,1ZVBP8EM2E5300077,27200,FORD,Mustang,2014,41.8,33.45,-112.08
195,18800,Leavenworth, KS,13255,1FMCU0J96EUD77233,29100,FORD,Escape,2014,35.4,47.6,-120.66
196,13988,Shawnee, KS,57529,1FMCU0GX4EUC75712,25550,FORD,Escape,2014,45.25,35.33,-96.93
197,13795,Glendale, AZ,88702,3FA6P0LU6ER272389,27200,FORD,Fusion,2014,49.28,34.14,-118.25
198,14995,Hickory, NC,36049,1FMCU0GX8EUD78888,25550,FORD,Escape,2014,41.31,35.73,-81.34
199,17000,Leavenworth, KS,35890,1FMCU0JX2EUD30957,29100,FORD,Escape,2014,41.58,47.6,-120.66
200,15990,Kenly, NC,44510,1FMCU0GXXEUC35764,25550,FORD,Escape,2014,37.42,35.6,-78.12
201,15995,Valdese, NC,35273,1FMCU0GX3EUD69547,25550,FORD,Escape,2014,37.4,35.74,-81.56
202,12975,Burlington, KS,70959,1FMCU0GX9EUD09868,25550,FORD,Escape,2014,49.22,44.47,-73.21
203,16485,Leavenworth, KS,34047,2FMDK3GC3EBB29431,0,FORD,Edge,2014,-inf,47.6,-120.66
204,14595,Valdese, NC,53538,1FMCU0GX7EUB38957,25550,FORD,Escape,2014,42.88,35.74,-81.56
205,16297,Mesa, AZ,36439,3FA6P0SU2ER329849,40500,FORD,Fusion,2014,59.76,33.41,-111.83
206,16500,Elizabeth City, NC,29888,1FMCU0GX0EUD77959,25550,FORD,Escape,2014,35.42,36.3,-76.22
207,15997,Tucson, AZ,40492,3FA6P0SUXER170336,40500,FORD,Fusion,2014,60.5,32.22,-110.93
208,12500,Charlotte, NC,68529,1FMCU0F73EUA82095,22700,FORD,Escape,2014,44.93,35.23,-80.84
209,16442,Hillsborough, NC,35398,1FMCU0GX8EUD14298,25550,FORD,Escape,2014,35.65,37.57,-122.38
210,17499,Leavenworth, KS,32244,1FMCU0JX0EUE50238,29100,FORD,Escape,2014,39.87,47.6,-120.66
211,17150,Jacksonville, NC,22512,1FMCU0GX7EUD41136,25550,FORD,Escape,2014,32.88,30.33,-81.66
212,17114,kansas city, KS,23304,1FMCU0G96EUD71407,25550,FORD,Escape,2014,33.02,39.08,-94.56
213,16688,Glendale, AZ,32871,1FMCU0F7XEUA84457,22700,FORD,Escape,2014,26.48,34.14,-118.25
214,25204,Nashville, NC,38712,1FTEX1CMXEFC39517,35640,FORD,F-150,2014,29.28,36.16,-86.77
215,27980,Cary, NC,16180,1FTFX1EF2EKE04020,40250,FORD,F-150,2014,30.48,35.79,-78.78
216,17900,Kernersville, NC,70609,1FAHP2F89EG130600,34200,FORD,Taurus,2014,47.66,36.12,-80.07
217,12995,Indian Trail, NC,25816,1FADP3F29EL359558,18515,FORD,Focus,2014,29.81,35.08,-80.67
218,26491,Hillsborough, NC,28496,1FTEW1CM1EFC40140,47390,FORD,F-150,2014,44.1,37.57,-122.38
219,24500,Wilmington, NC,61220,1FM5K8D8XEGA85213,34600,FORD,Explorer,2014,29.19,39.75,-75.55
220,21325,Raleigh, NC,96220,1FM5K7D8XEGA40993,32600,FORD,Explorer,2014,34.59,35.78,-78.64
221,25294,Dunn, NC,43875,1FM5K8D87EGB56836,34600,FORD,Explorer,2014,26.9,35.31,-78.61
222,24987,Dunn, NC,43665,2FMDK4KC2EBA44156,0,FORD,Edge,2014,-inf,35.31,-78.61
223,25978,Lumberton, NC,32398,1FTMF1EF4EKD13230,33245,FORD,F-150,2014,21.86,30.27,-94.2
224,24300,Jacksonville, NC,56155,1FM5K7F89EGB68686,38100,FORD,Explorer,2014,36.22,30.33,-81.66
225,25991,Elizabeth City, NC,31358,1FTFX1CF8EKF42552,35640,FORD,F-150,2014,27.07,36.3,-76.22
226,28999,Cary, NC,119,1ZVBP8FF8E5207287,35900,FORD,Mustang,2014,19.22,35.79,-78.78
227,26994,Apache Junction, AZ,18940,2FMDK3KC6EBB24375,0,FORD,Edge,2014,-inf,33.41,-111.55
228,26921,Wake Forest, NC,29412,1FM5K7D83EGB00189,32600,FORD,Explorer,2014,17.42,35.98,-78.51
229,21477,Southern Pines, NC,81455,1FM5K8D86EGB28140,34600,FORD,Explorer,2014,37.93,35.17,-79.39
230,24000,Morganton, NC,63687,1FM5K7F81EGA44668,38100,FORD,Explorer,2014,37.01,35.75,-81.69
231,23990,Wilmington, NC,57725,1FTEW1CMXEFB06470,47390,FORD,F-150,2014,49.38,39.75,-75.55
232,33485,Kernersville, NC,87292,1FTFW1ET2EKD59069,42260,FORD,F-150,2014,20.76,36.12,-80.07
233,45250,Jacksonville, NC,84990,1FT7W2BT1EEA57494,52710,FORD,F-250,2014,14.15,30.33,-81.66
